,precision,recall,f1-score,support
16511,0.0,0.0,0.0,1.0
16844,0.0,0.0,0.0,1.0
17274,0.0,0.0,0.0,1.0
17511,0.0,0.0,0.0,1.0
17619,0.0,0.0,0.0,1.0
17647,0.0,0.0,0.0,1.0
17854,0.0,0.0,0.0,1.0
18012,0.0,0.0,0.0,1.0
18371,0.0,0.0,0.0,2.0
18436,0.0,0.0,0.0,1.0
18966,0.0,0.0,0.0,1.0
19008,0.0,0.0,0.0,1.0
19023,0.0,0.0,0.0,1.0
19025,0.0,0.0,0.0,1.0
19204,0.0,0.0,0.0,1.0
19282,0.0,0.0,0.0,1.0
19380,0.0,0.0,0.0,1.0
19389,0.0,0.0,0.0,1.0
19797,0.0,0.0,0.0,1.0
19967,0.0,0.0,0.0,1.0
20091,0.0,0.0,0.0,1.0
20265,0.0,0.0,0.0,1.0
20310,0.0,0.0,0.0,2.0
20528,0.0,0.0,0.0,3.0
21633,0.0,0.0,0.0,1.0
21663,0.0,0.0,0.0,1.0
21943,0.0,0.0,0.0,1.0
22429,0.0,0.0,0.0,1.0
22513,0.0,0.0,0.0,1.0
22516,0.0,0.0,0.0,1.0
22583,0.0,0.0,0.0,1.0
22667,0.0,0.0,0.0,1.0
23035,0.0,0.0,0.0,1.0
23044,0.0,0.0,0.0,1.0
23046,0.0,0.0,0.0,2.0
23051,0.0,0.0,0.0,1.0
23054,0.0,0.0,0.0,1.0
23116,0.0,0.0,0.0,1.0
23157,0.0,0.0,0.0,1.0
23167,0.0,0.0,0.0,1.0
23218,0.0,0.0,0.0,2.0
23230,0.0,0.0,0.0,2.0
23232,0.0,0.0,0.0,1.0
23234,0.0,0.0,0.0,1.0
23247,0.0,0.0,0.0,6.0
23268,0.0,0.0,0.0,1.0
23277,0.0,0.0,0.0,1.0
23282,0.0,0.0,0.0,1.0
23302,0.0,0.0,0.0,1.0
23306,0.0,0.0,0.0,1.0
23320,0.0,0.0,0.0,1.0
23322,0.0,0.0,0.0,1.0
23324,0.0,0.0,0.0,3.0
23338,0.0,0.0,0.0,2.0
23341,0.0,0.0,0.0,1.0
23342,0.0,0.0,0.0,1.0
23344,0.0,0.0,0.0,2.0
23349,0.0,0.0,0.0,2.0
23363,0.0,0.0,0.0,6.0
23369,0.0,0.0,0.0,1.0
23374,0.0,0.0,0.0,1.0
23385,0.0,0.0,0.0,3.0
23387,0.0,0.0,0.0,5.0
23411,0.0,0.0,0.0,0.0
23424,0.0,0.0,0.0,1.0
23432,0.0,0.0,0.0,1.0
23434,0.0,0.0,0.0,1.0
23438,0.0,0.0,0.0,1.0
23445,0.0,0.0,0.0,1.0
23454,0.0,0.0,0.0,1.0
23463,0.0,0.0,0.0,1.0
23480,0.0,0.0,0.0,1.0
23482,0.0,0.0,0.0,1.0
23487,0.0,0.0,0.0,1.0
23554,0.0,0.0,0.0,2.0
23556,0.0,0.0,0.0,2.0
23558,0.0,0.0,0.0,1.0
23574,0.0,0.0,0.0,1.0
23577,0.0,0.0,0.0,1.0
23588,0.0,0.0,0.0,1.0
23592,0.0,0.0,0.0,1.0
23593,0.0,0.0,0.0,1.0
23600,0.0,0.0,0.0,1.0
23604,0.0,0.0,0.0,3.0
23633,0.0,0.0,0.0,1.0
23662,0.0,0.0,0.0,1.0
23669,0.0,0.0,0.0,1.0
23672,0.0,0.0,0.0,0.0
23680,0.0,0.0,0.0,1.0
23682,0.0,0.0,0.0,2.0
23683,0.0,0.0,0.0,2.0
23687,0.0,0.0,0.0,2.0
23712,0.0,0.0,0.0,1.0
23713,0.0,0.0,0.0,1.0
23753,0.0,0.0,0.0,1.0
23777,0.0,0.0,0.0,1.0
23796,0.0,0.0,0.0,2.0
23799,0.0,0.0,0.0,1.0
23822,0.0,0.0,0.0,1.0
23899,0.0,0.0,0.0,1.0
23989,0.0,0.0,0.0,1.0
24457,0.0,0.0,0.0,1.0
24474,0.0,0.0,0.0,1.0
24887,0.0,0.0,0.0,1.0
25636,0.0,0.0,0.0,1.0
26603,0.0,0.0,0.0,1.0
27051,0.0,0.0,0.0,1.0
27054,0.0,0.0,0.0,1.0
27636,0.0,0.0,0.0,1.0
27694,0.0,0.0,0.0,1.0
28447,0.0,0.0,0.0,1.0
29477,0.0,0.0,0.0,1.0
30094,0.0,0.0,0.0,1.0
30300,0.0,0.0,0.0,1.0
31648,0.0,0.0,0.0,1.0
32233,0.0,0.0,0.0,1.0
32328,0.0,0.0,0.0,1.0
32695,0.0,0.0,0.0,1.0
33077,0.0,0.0,0.0,1.0
34640,0.0,0.0,0.0,1.0
34667,0.0,0.0,0.0,1.0
34834,0.0,0.0,0.0,1.0
34895,0.0,0.0,0.0,1.0
34908,0.0,0.0,0.0,2.0
34912,0.0,0.0,0.0,1.0
34986,0.0,0.0,0.0,3.0
35029,0.0,0.0,0.0,1.0
35060,0.0,0.0,0.0,1.0
35065,0.0,0.0,0.0,2.0
35068,0.0,0.0,0.0,1.0
35069,0.0,0.0,0.0,1.0
35072,0.0,0.0,0.0,1.0
35077,0.0,0.0,0.0,1.0
35148,0.0,0.0,0.0,3.0
35183,0.0,0.0,0.0,1.0
35189,0.0,0.0,0.0,1.0
35231,0.0,0.0,0.0,1.0
35236,0.0,0.0,0.0,1.0
35259,0.0,0.0,0.0,3.0
35301,0.0,0.0,0.0,1.0
35359,0.0,0.0,0.0,1.0
35381,0.0,0.0,0.0,1.0
35408,0.0,0.0,0.0,1.0
35452,0.0,0.0,0.0,1.0
35474,0.0,0.0,0.0,1.0
35507,0.0,0.0,0.0,1.0
35517,0.0,0.0,0.0,1.0
35519,0.0,0.0,0.0,1.0
35527,0.0,0.0,0.0,2.0
35534,0.0,0.0,0.0,2.0
35543,0.0,0.0,0.0,1.0
35545,0.0,0.0,0.0,1.0
